character,high_drop,low_drop,ratio
J,0.9902429752983153,0.0367853045463562,26.91951903932828
H,0.9844662417393314,0.6734756665537134,1.4617695575540428
K,0.7795488686242606,0.5954813919573402,1.309106994881608
k,0.6005568484700538,0.48119067106745206,1.2480641710221925
R,0.5186059571569785,0.4361555213108659,1.1890390466866436
q,0.53727417072029,0.4781807471687595,1.123579656156417
r,0.9720704736246262,0.8943831697106361,1.0868613091976131
G,0.8829308268614113,0.8334247916936874,1.0594007102585832
Q,0.7699057915403197,0.7278507379814982,1.0577797627816554
F,0.9707761284177346,0.9386340832958618,1.0342434132229432
y,0.12453009001910686,0.12047147750854492,1.0336893201412
f,0.3334445722284727,0.3253446163337988,1.0248965104663
X,0.23071219368527332,0.225120450835675,1.0248388477388555
7,0.9711629306766554,0.9490638970164582,1.0232850743736206
B,0.9498349018394947,0.9318225476890802,1.0193302297758116
w,0.7705871883081272,0.759314985286134,1.014845213240844
j,0.980739386252632,0.971360299581041,1.009655610363199
P,0.9512556039262563,0.9429029822349548,1.0088583998142835
5,0.9110142623491507,0.9041253219669064,1.0076194418391724
x,0.22052016778616235,0.2189736980944872,1.0070623076401841
g,0.8582377177663147,0.8547281790524721,1.0041060172798713
4,0.498432783089811,0.496676679700613,1.003535687149434
I,0.9728526448579942,0.9698158615501598,1.0031312885228207
W,0.3403485339949839,0.3393963382113725,1.002805527486166
T,0.8777848421595991,0.8754016849852633,1.0027223469956565
i,0.9564567570341751,0.9546609598910436,1.0018810731765189
z,0.7643446225556545,0.7629660861566663,1.0018067990254511
A,0.45883442932972685,0.4581990042934194,1.0013867664846188
t,0.9496964445910029,0.9495105447713286,1.0001957743584209
Z,0.29925605062938604,-0.1858675666153431,-1.6100499521210303
0,0.04454980423179222,-0.009864259511232376,-4.516289270771543
E,0.798587375873467,-0.15108492970466614,-5.2856855431667755
